v8-version,7,6,303,29,0
code-creation,Builtin,3,4832,0x7ff7dd50da20,49,ContinueToJavaScriptBuiltinWithResult
code-creation,Builtin,3,4839,0x7ff7dd50da60,270,CallApiCallback
code-creation,Builtin,3,4846,0x7ff7dd50db80,252,CallApiGetter
code-creation,Builtin,3,4854,0x7ff7dd50dc80,12,HandleApiCall
code-creation,Builtin,3,4861,0x7ff7dd50dca0,12,HandleApiCallAsFunction
code-creation,Builtin,3,4868,0x7ff7dd50dcc0,12,HandleApiCallAsConstructor
code-creation,Builtin,3,4876,0x7ff7dd50dce0,40,AllocateInYoungGeneration
code-creation,Builtin,3,4884,0x7ff7dd50dd20,56,AllocateInOldGeneration
code-creation,Builtin,3,4891,0x7ff7dd50dd60,547,CopyFastSmiOrObjectElements
code-creation,Builtin,3,4899,0x7ff7dd50dfa0,599,GrowFastDoubleElements
code-creation,Builtin,3,4906,0x7ff7dd50e200,494,GrowFastSmiOrObjectElements
code-creation,Builtin,3,4914,0x7ff7dd50e400,441,NewArgumentsElements
code-creation,Builtin,3,4921,0x7ff7dd50e5c0,496,DebugBreakTrampoline
code-creation,Builtin,3,4929,0x7ff7dd50e7c0,141,FrameDropperTrampoline
code-creation,Builtin,3,4936,0x7ff7dd50e860,45,HandleDebuggerStatement
code-creation,Builtin,3,4943,0x7ff7dd50e8a0,290,ToObject
code-creation,Builtin,3,4951,0x7ff7dd50e9e0,108,ToBoolean
code-creation,Builtin,3,4958,0x7ff7dd50ea60,273,OrdinaryToPrimitive_Number
code-creation,Builtin,3,4965,0x7ff7dd50eb80,273,OrdinaryToPrimitive_String
code-creation,Builtin,3,4973,0x7ff7dd50eca0,219,NonPrimitiveToPrimitive_Default
code-creation,Builtin,3,4981,0x7ff7dd50ed80,219,NonPrimitiveToPrimitive_Number
code-creation,Builtin,3,4988,0x7ff7dd50ee60,219,NonPrimitiveToPrimitive_String
code-creation,Builtin,3,4996,0x7ff7dd50ef40,85,StringToNumber
code-creation,Builtin,3,5003,0x7ff7dd50efa0,129,ToName
code-creation,Builtin,3,5010,0x7ff7dd50f040,271,NonNumberToNumber
code-creation,Builtin,3,5018,0x7ff7dd50f160,271,NonNumberToNumeric
code-creation,Builtin,3,5025,0x7ff7dd50f280,251,ToNumber
code-creation,Builtin,3,5032,0x7ff7dd50f380,292,ToNumberConvertBigInt
code-creation,Builtin,3,5039,0x7ff7dd50f4c0,307,ToNumeric
code-creation,Builtin,3,5047,0x7ff7dd50f600,269,NumberToString
code-creation,Builtin,3,5054,0x7ff7dd50f720,474,ToInteger
code-creation,Builtin,3,5061,0x7ff7dd50f900,490,ToInteger_TruncateMinusZero
code-creation,Builtin,3,5069,0x7ff7dd50fb00,530,ToLength
code-creation,Builtin,3,5076,0x7ff7dd50fd20,140,Typeof
code-creation,Builtin,3,5083,0x7ff7dd50fdc0,69,GetSuperConstructor
code-creation,Builtin,3,5090,0x7ff7dd50fe20,133,BigIntToI64
code-creation,Builtin,3,5097,0x7ff7dd50fec0,277,I64ToBigInt
code-creation,Builtin,3,5105,0x7ff7dd50ffe0,116,ToBooleanLazyDeoptContinuation
code-creation,Builtin,3,5112,0x7ff7dd510060,2673,KeyedLoadIC_PolymorphicName
code-creation,Builtin,3,5120,0x7ff7dd510ae0,36,KeyedLoadIC_Slow
code-creation,Builtin,3,5127,0x7ff7dd510b20,16310,KeyedStoreIC_Megamorphic
code-creation,Builtin,3,5135,0x7ff7dd514ae0,40,KeyedStoreIC_Slow
code-creation,Builtin,3,5143,0x7ff7dd514b20,40,LoadGlobalIC_Slow
code-creation,Builtin,3,5151,0x7ff7dd514b60,68,LoadIC_FunctionPrototype
code-creation,Builtin,3,5159,0x7ff7dd514bc0,36,LoadIC_Slow
code-creation,Builtin,3,5166,0x7ff7dd514c00,20,LoadIC_StringLength
code-creation,Builtin,3,5173,0x7ff7dd514c20,24,LoadIC_StringWrapperLength
code-creation,Builtin,3,5181,0x7ff7dd514c40,3248,LoadIC_Uninitialized
code-creation,Builtin,3,5188,0x7ff7dd515900,40,StoreGlobalIC_Slow
code-creation,Builtin,3,5196,0x7ff7dd515940,6776,StoreIC_Uninitialized
code-creation,Builtin,3,5203,0x7ff7dd5173c0,40,StoreInArrayLiteralIC_Slow
code-creation,Builtin,3,5211,0x7ff7dd517400,380,KeyedLoadIC_SloppyArguments
code-creation,Builtin,3,5223,0x7ff7dd517580,80,LoadIndexedInterceptorIC
code-creation,Builtin,3,5231,0x7ff7dd5175e0,40,StoreInterceptorIC
code-creation,Builtin,3,5238,0x7ff7dd517620,560,KeyedStoreIC_SloppyArguments_Standard
code-creation,Builtin,3,5246,0x7ff7dd517860,560,KeyedStoreIC_SloppyArguments_GrowNoTransitionHandleCOW
code-creation,Builtin,3,5272,0x7ff7dd517aa0,560,KeyedStoreIC_SloppyArguments_NoTransitionIgnoreOOB
code-creation,Builtin,3,5281,0x7ff7dd517ce0,560,KeyedStoreIC_SloppyArguments_NoTransitionHandleCOW
code-creation,Builtin,3,5289,0x7ff7dd517f20,40,StoreInArrayLiteralIC_Slow_Standard
code-creation,Builtin,3,5310,0x7ff7dd517f60,5674,StoreFastElementIC_Standard
code-creation,Builtin,3,5318,0x7ff7dd5195a0,10746,StoreFastElementIC_GrowNoTransitionHandleCOW
code-creation,Builtin,3,5326,0x7ff7dd51bfa0,5646,StoreFastElementIC_NoTransitionIgnoreOOB
code-creation,Builtin,3,5348,0x7ff7dd51d5c0,7154,StoreFastElementIC_NoTransitionHandleCOW
code-creation,Builtin,3,5371,0x7ff7dd51f1c0,40,StoreInArrayLiteralIC_Slow_GrowNoTransitionHandleCOW
code-creation,Builtin,3,5391,0x7ff7dd51f200,40,StoreInArrayLiteralIC_Slow_NoTransitionIgnoreOOB
code-creation,Builtin,3,5400,0x7ff7dd51f240,40,StoreInArrayLiteralIC_Slow_NoTransitionHandleCOW
code-creation,Builtin,3,5422,0x7ff7dd51f280,40,KeyedStoreIC_Slow_Standard
code-creation,Builtin,3,5442,0x7ff7dd51f2c0,40,KeyedStoreIC_Slow_GrowNoTransitionHandleCOW
code-creation,Builtin,3,5465,0x7ff7dd51f300,40,KeyedStoreIC_Slow_NoTransitionIgnoreOOB
code-creation,Builtin,3,5473,0x7ff7dd51f340,40,KeyedStoreIC_Slow_NoTransitionHandleCOW
code-creation,Builtin,3,5494,0x7ff7dd51f380,8864,ElementsTransitionAndStore_Standard
code-creation,Builtin,3,5502,0x7ff7dd521640,18772,ElementsTransitionAndStore_GrowNoTransitionHandleCOW
code-creation,Builtin,3,5524,0x7ff7dd525fa0,8864,ElementsTransitionAndStore_NoTransitionIgnoreOOB
